

##########################
Quicklogic Open Platform 2.0
SW Version: OP2-QuickFeather-bootloader
May 14 2020 16:40:02
##########################

User button not pressed: proceeding to load application
ram init content size: 0x00001008, 4104
ram_block: [0], start:[0x40018000], size: [0x00000400, 1024]
addr: 0x40018238, read: 0x00030d86, write: 0x000198dd
addr: 0x4001823c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018240, read: 0x00030d86, write: 0x000198dd
addr: 0x40018244, read: 0x00030d86, write: 0x000198dd
addr: 0x40018248, read: 0x00030d86, write: 0x000198dd
addr: 0x4001824c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018250, read: 0x00030d86, write: 0x000198dd
addr: 0x40018254, read: 0x00030d86, write: 0x000198dd
addr: 0x40018258, read: 0x00030d86, write: 0x000198dd
addr: 0x4001825c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018260, read: 0x00030d86, write: 0x000198dd
addr: 0x40018264, read: 0x00030d86, write: 0x000198dd
addr: 0x40018268, read: 0x00030d86, write: 0x000198dd
addr: 0x4001826c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018270, read: 0x00030d86, write: 0x000198dd
addr: 0x40018274, read: 0x00030d86, write: 0x000198dd
addr: 0x40018278, read: 0x00030d86, write: 0x000198dd
addr: 0x4001827c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018280, read: 0x00030d86, write: 0x000198dd
addr: 0x40018284, read: 0x00030d86, write: 0x000198dd
addr: 0x40018288, read: 0x00030d86, write: 0x000198dd
addr: 0x4001828c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018290, read: 0x00030d86, write: 0x000198dd
addr: 0x40018294, read: 0x00030d86, write: 0x000198dd
addr: 0x40018298, read: 0x00030d86, write: 0x000198dd
addr: 0x4001829c, read: 0x00030d86, write: 0x000198dd
addr: 0x400182a0, read: 0x00030d86, write: 0x000198dd
addr: 0x400182a4, read: 0x00030d86, write: 0x000198dd
addr: 0x400182a8, read: 0x00030d86, write: 0x000198dd
addr: 0x400182ac, read: 0x00030d86, write: 0x000198dd
addr: 0x400182b0, read: 0x00030d86, write: 0x000198dd
addr: 0x400182b4, read: 0x00030d86, write: 0x000198dd
addr: 0x400182b8, read: 0x00030d86, write: 0x000198dd
addr: 0x400182bc, read: 0x00030d86, write: 0x000198dd
addr: 0x400182c0, read: 0x00030d86, write: 0x000198dd
addr: 0x400182c4, read: 0x00030d86, write: 0x000198dd
addr: 0x400182c8, read: 0x00030d86, write: 0x000198dd
addr: 0x400182cc, read: 0x00030d86, write: 0x000198dd
addr: 0x400182d0, read: 0x00030d86, write: 0x000198dd
addr: 0x400182d4, read: 0x00030d86, write: 0x000198dd
addr: 0x400182d8, read: 0x00030d86, write: 0x000198dd
addr: 0x400182dc, read: 0x00030d86, write: 0x000198dd
addr: 0x400182e0, read: 0x00030d86, write: 0x000198dd
addr: 0x400182e4, read: 0x00030d86, write: 0x000198dd
addr: 0x400182e8, read: 0x00030d86, write: 0x000198dd
addr: 0x400182ec, read: 0x00030d86, write: 0x000198dd
addr: 0x400182f0, read: 0x00030d86, write: 0x000198dd
addr: 0x400182f4, read: 0x00030d86, write: 0x000198dd
addr: 0x400182f8, read: 0x00030d86, write: 0x000198dd
addr: 0x400182fc, read: 0x00030d86, write: 0x000198dd
addr: 0x40018300, read: 0x00030d86, write: 0x000198dd
addr: 0x40018304, read: 0x00030d86, write: 0x000198dd
addr: 0x40018308, read: 0x00030d86, write: 0x000198dd
addr: 0x4001830c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018310, read: 0x00030d86, write: 0x000198dd
addr: 0x40018314, read: 0x00030d86, write: 0x000198dd
addr: 0x40018318, read: 0x00030d86, write: 0x000198dd
addr: 0x4001831c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018320, read: 0x00030d86, write: 0x000198dd
addr: 0x40018324, read: 0x00030d86, write: 0x000198dd
addr: 0x40018328, read: 0x00030d86, write: 0x000198dd
addr: 0x4001832c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018330, read: 0x00030d86, write: 0x000198dd
addr: 0x40018334, read: 0x00030d86, write: 0x000198dd
addr: 0x40018338, read: 0x00030d86, write: 0x000198dd
addr: 0x4001833c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018340, read: 0x00030d86, write: 0x000198dd
addr: 0x40018344, read: 0x00030d86, write: 0x000198dd
addr: 0x40018348, read: 0x00030d86, write: 0x000198dd
addr: 0x4001834c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018350, read: 0x00030d86, write: 0x000198dd
addr: 0x40018354, read: 0x00030d86, write: 0x000198dd
addr: 0x40018358, read: 0x00030d86, write: 0x000198dd
addr: 0x4001835c, read: 0x00030d86, write: 0x000198dd
